sensor ID,norm_secs (secs),time (days)
5.100000000000000000e+01,6.278614147718429450e+01,3.974634838872845285e+04
5.100000000000000000e+01,1.222677491924115287e+02,3.974634907717298483e+04
5.100000000000000000e+01,1.255722829543685890e+02,3.974634911541990004e+04
5.100000000000000000e+01,1.288768167163256635e+02,3.974634915366682253e+04
5.100000000000000000e+01,1.321813504782827238e+02,3.974634919191373774e+04
5.100000000000000000e+01,1.354858842402398125e+02,3.974634923016066023e+04
5.100000000000000000e+01,1.387904180021968727e+02,3.974634926840757544e+04
5.100000000000000000e+01,1.420949517641539330e+02,3.974634930665449792e+04
5.100000000000000000e+01,1.453994855261109933e+02,3.974634934490141313e+04
5.100000000000000000e+01,1.487040192880680820e+02,3.974634938314833562e+04
5.100000000000000000e+01,1.520085530500251423e+02,3.974634942139525083e+04
5.000000000000000000e+00,1.718357556217675608e+02,3.974634965087676392e+04
5.000000000000000000e+00,1.751402893837246211e+02,3.974634968912367913e+04
5.000000000000000000e+00,1.784448231456816814e+02,3.974634972737060161e+04
5.000000000000000000e+00,1.817493569076387416e+02,3.974634976561751682e+04
5.000000000000000000e+00,1.850538906695958303e+02,3.974634980386443931e+04
5.000000000000000000e+00,1.883584244315528906e+02,3.974634984211135452e+04
2.300000000000000000e+01,1.586176205739392799e+03,3.974636707958577608e+04
2.300000000000000000e+01,1.655571414740491264e+03,3.976442372189155867e+04
5.000000000000000000e+00,2.755981157472194809e+03,3.976443894075432763e+04
5.000000000000000000e+00,2.759285691234152182e+03,3.976443897900125012e+04
5.000000000000000000e+00,2.762590224996109100e+03,3.976443901724816533e+04
5.100000000000000000e+01,2.779112893805894601e+03,3.976443920848276321e+04
5.100000000000000000e+01,2.782417427567851519e+03,3.976443924672967842e+04
5.000000000000000000e+00,2.970775851999404495e+03,3.976704135845792916e+04
5.000000000000000000e+00,3.294620160671197027e+03,3.977597691478348133e+04
5.100000000000000000e+01,3.588723665485375932e+03,3.979329238106135745e+04
5.100000000000000000e+01,3.592028199247333305e+03,3.979329241930827266e+04
5.000000000000000000e+00,3.598637266771247141e+03,3.979329249580211035e+04
5.000000000000000000e+00,3.601941800533204514e+03,3.979329253404903284e+04
