id,seconds,time
47,3420104624.000004,39584.5442592593
47,3420104624.7015343,39584.54426737887
47,3420104625.403065,39584.54427549844
47,3420104626.1045957,39584.54428361801
47,3420104626.806126,39584.54429173757
47,3420104627.507657,39584.544299857145
47,3420104628.2091875,39584.54430797671
47,3420104628.910718,39584.544316096275
47,3420104629.612249,39584.54432421584
47,3420104630.3137794,39584.54433233541
47,3420104631.01531,39584.54434045497
47,3420104631.7168403,39584.54434857454
47,3420104632.418371,39584.54435669411
47,3420104633.1199017,39584.54436481368
47,3420104633.821432,39584.54437293324
47,3420104634.522963,39584.54438105281
64,3420104824.637758,39584.54658145553
64,3420104825.339288,39584.5465895751
64,3420104826.0408187,39584.54659769466
64,3420104826.7423496,39584.54660581423
9,3420104973.3622465,39584.54830280378
9,3420104974.063777,39584.54831092335
9,3420104974.765308,39584.548319042915
9,3420104975.4668384,39584.54832716248
9,3420104976.168369,39584.54833528205
9,3420104976.8698997,39584.54834340162
9,3420104977.57143,39584.54835152119
9,3420104978.2729607,39584.54835964075
9,3420104978.9744916,39584.54836776032
9,3420104979.676022,39584.54837587989
9,3420104980.3775525,39584.54838399945
9,3420104981.0790834,39584.548392119024
9,3420104981.780614,39584.548400238586
9,3420104982.4821444,39584.548408358154
9,3420104983.1836753,39584.54841647772
9,3420104983.8852057,39584.54842459729
9,3420104984.586736,39584.54843271685
9,3420104985.288267,39584.54844083642
9,3420104985.9897976,39584.54844895598
9,3420104986.691328,39584.54845707555
9,3420104987.392859,39584.54846519513
9,3420104988.0943894,39584.54847331469
9,3420104988.79592,39584.548481434256
9,3420104989.4974504,39584.548489553825
9,3420104990.1989813,39584.54849767339
9,3420104990.9005117,39584.54850579296
9,3420104991.602042,39584.54851391253
9,3420104992.303573,39584.5485220321
9,3420104993.0051036,39584.54853015167
9,3420104993.706634,39584.548538271236
9,3420104994.408165,39584.548546390804
9,3420104995.1096954,39584.548554510366
9,3420104995.811226,39584.54856262993
9,3420104996.512757,39584.548570749495
