id,seconds,time
22,3438587689.000001,39798.4686226852
47,3438587689.000001,39798.4686226852
22,3438587689.7068977,39798.468630866875
47,3438587689.7068977,39798.468630866875
47,3438587690.413794,39798.46863904854
47,3438587691.120691,39798.46864723021
47,3438587691.827587,39798.46865541189
47,3438587692.534484,39798.468663593565
47,3438587693.24138,39798.468671775234
47,3438587693.948277,39798.46867995691
47,3438587694.6551733,39798.46868813858
47,3438587695.36207,39798.468696320255
47,3438587696.0689664,39798.468704501924
47,3438587696.775863,39798.4687126836
47,3438587697.4827595,39798.46872086527
50,3438587702.4310355,39798.46877813699
50,3438587703.137932,39798.468786318655
50,3438587703.8448286,39798.46879450033
50,3438587704.551725,39798.468802682
50,3438587705.2586217,39798.46881086368
50,3438587705.965518,39798.468819045345
50,3438587706.672415,39798.46882722702
50,3438587707.379311,39798.46883540869
50,3438587708.086208,39798.46884359037
50,3438587708.793104,39798.46885177204
50,3438587709.500001,39798.46885995372
50,3438587710.2068973,39798.46886813539
50,3438587710.913794,39798.468876317056
64,3438587788.672414,39798.469776301084
64,3438587789.3793106,39798.46978448276
64,3438587790.086207,39798.46979266443
64,3438587790.7931037,39798.469800846105
64,3438587791.5,39798.469809027774
64,3438587792.206897,39798.46981720945
64,3438587792.913793,39798.46982539112
64,3438587793.62069,39798.469833572795
64,3438587794.327586,39798.46984175447
64,3438587795.034483,39798.46984993615
64,3438587795.7413793,39798.46985811782
