num_mules,num_sensors,advertisement_period,connection_time,ble_throughput,sample_period,sample_length,batch_period,batch_length
100,1000,2.0,1.5,125000.0,10.0,128,600.0,100000

sensor_id,mule_id,sample_time,pickup_time,batch_time,data_length
86,0,230.0,239.90716800000004,600,128
86,0,240.0,240.001024,600,128
582,0,240.0,240.001024,600,128
169,0,120.0,260.001024,600,128
169,0,130.0,260.00204799999995,600,128
169,0,140.0,260.0030719999999,600,128
169,0,150.0,260.0040959999999,600,128
169,0,160.0,260.00511999999986,600,128
169,0,170.0,260.00614399999984,600,128
169,0,180.0,260.0071679999998,600,128
169,0,190.0,260.0081919999998,600,128
169,0,200.0,260.00921599999975,600,128
169,0,210.0,260.0102399999997,600,128
169,0,220.0,260.0112639999997,600,128
169,0,230.0,260.01228799999967,600,128
169,0,240.0,260.01331199999964,600,128
169,0,250.0,260.0143359999996,600,128
169,0,260.0,260.0153599999996,600,128
59,0,150.0,264.501024,600,128
59,0,160.0,264.50204799999995,600,128
59,0,170.0,264.5030719999999,600,128
59,0,180.0,264.5040959999999,600,128
59,0,190.0,264.50511999999986,600,128
59,0,200.0,264.50614399999984,600,128
59,0,210.0,264.5071679999998,600,128
59,0,220.0,264.5081919999998,600,128
59,0,230.0,264.50921599999975,600,128
59,0,240.0,264.5102399999997,600,128
59,0,250.0,264.5112639999997,600,128
59,0,260.0,264.51228799999967,600,128
385,0,120.0,268.70102399999996,600,128
385,0,130.0,268.70204799999993,600,128
385,0,140.0,268.7030719999999,600,128
385,0,150.0,268.7040959999999,600,128
385,0,160.0,268.70511999999985,600,128
385,0,170.0,268.7061439999998,600,128
385,0,180.0,268.7071679999998,600,128
385,0,190.0,268.70819199999977,600,128
385,0,200.0,268.70921599999974,600,128
385,0,210.0,268.7102399999997,600,128
385,0,220.0,268.7112639999997,600,128
385,0,230.0,268.71228799999966,600,128
385,0,240.0,268.71331199999963,600,128
385,0,250.0,268.7143359999996,600,128
385,0,260.0,268.7153599999996,600,128
385,0,270.0,270.001024,600,128
385,0,280.0,280.001024,600,128
385,0,290.0,303.101024,600,128
385,0,300.0,303.10204799999997,600,128
385,0,310.0,310.001024,600,128
582,0,250.0,322.101024,600,128
582,0,260.0,322.10204799999997,600,128
582,0,270.0,322.10307199999994,600,128
582,0,280.0,322.1040959999999,600,128
582,0,290.0,322.1051199999999,600,128
582,0,300.0,322.10614399999986,600,128
582,0,310.0,322.10716799999983,600,128
582,0,320.0,322.1081919999998,600,128
86,0,250.0,323.90102399999995,600,128
86,0,260.0,323.9020479999999,600,128
86,0,270.0,323.9030719999999,600,128
86,0,280.0,323.90409599999987,600,128
86,0,290.0,323.90511999999984,600,128
86,0,300.0,323.9061439999998,600,128
86,0,310.0,323.9071679999998,600,128
86,0,320.0,323.90819199999976,600,128
385,0,320.0,325.801024,600,128
59,0,270.0,339.901024,600,128
