sensor ID,norm_secs (secs),time (days)
5.000000000000000000e+00,9.464536923174968251e+03,3.943026176385320286e+04
5.000000000000000000e+00,1.147096595012419311e+04,3.943216360158304451e+04
5.000000000000000000e+00,1.147426599786588667e+04,3.943217334358675726e+04
5.000000000000000000e+00,1.147756604560757842e+04,3.943217548131994408e+04
5.000000000000000000e+00,1.834166534832861726e+04,3.945025661691599089e+04
5.000000000000000000e+00,1.834496539607030718e+04,3.945026576654026576e+04
5.000000000000000000e+00,1.834826544381200074e+04,3.945027491616454790e+04
5.000000000000000000e+00,1.835156549155369430e+04,3.945028406578883005e+04
5.000000000000000000e+00,1.872117083862328946e+04,3.945030411424556951e+04
5.000000000000000000e+00,1.873767107733175362e+04,3.945030430522055394e+04
5.000000000000000000e+00,2.631458069225843428e+04,3.945152498473000014e+04
5.000000000000000000e+00,2.631788074000012784e+04,3.945152502292499412e+04
5.000000000000000000e+00,2.632118078774182140e+04,3.945152506111998810e+04
5.000000000000000000e+00,2.632448083548351497e+04,3.945152509931498935e+04
5.000000000000000000e+00,2.632778088322520489e+04,3.945152513750998332e+04
5.000000000000000000e+00,2.633108093096689845e+04,3.945152517570498458e+04
5.000000000000000000e+00,2.633438097870859201e+04,3.945152521389997855e+04
5.000000000000000000e+00,2.633768102645028557e+04,3.945152525209497981e+04
5.000000000000000000e+00,2.634098107419197913e+04,3.945152529028997378e+04
5.000000000000000000e+00,2.634428112193366906e+04,3.945152532848496776e+04
5.000000000000000000e+00,2.634758116967536262e+04,3.945152536667996901e+04
5.000000000000000000e+00,2.635088121741705618e+04,3.945152540487496299e+04
5.000000000000000000e+00,2.636408140838382678e+04,3.945152555765495345e+04
5.000000000000000000e+00,2.636738145612552034e+04,3.945152559584994742e+04
5.000000000000000000e+00,2.637068150386721391e+04,3.945152563404494867e+04
5.000000000000000000e+00,2.637398155160890747e+04,3.945152567223994265e+04
5.000000000000000000e+00,2.637728159935059739e+04,3.945152571043494390e+04
5.000000000000000000e+00,2.687228876060451876e+04,3.945229202529249596e+04
5.000000000000000000e+00,2.687558880834621232e+04,3.945230334988974937e+04
5.000000000000000000e+00,2.687888885608790588e+04,3.945231467448700278e+04
5.000000000000000000e+00,2.696139004963022671e+04,3.945244364664389286e+04
5.000000000000000000e+00,2.696469009737191664e+04,3.945244368483888684e+04
5.000000000000000000e+00,2.696799014511361020e+04,3.945244372303388809e+04
5.000000000000000000e+00,3.644572725925534905e+04,3.961741725818541454e+04
5.000000000000000000e+00,3.644902730699704261e+04,3.961741729638041579e+04
5.000000000000000000e+00,3.645232735473873618e+04,3.961741733457540977e+04
5.000000000000000000e+00,3.645562740248042974e+04,3.961741737277041102e+04
5.000000000000000000e+00,3.645892745022212330e+04,3.961741741096540500e+04
5.000000000000000000e+00,3.646222749796381686e+04,3.961741744916039897e+04
5.000000000000000000e+00,3.646552754570550314e+04,3.961741748735540023e+04
5.000000000000000000e+00,3.646882759344719670e+04,3.961741752555039420e+04
5.000000000000000000e+00,3.647212764118889027e+04,3.961741756374539546e+04
5.000000000000000000e+00,3.647542768893058383e+04,3.961741760194038943e+04
5.000000000000000000e+00,3.647872773667227739e+04,3.961741764013538341e+04
5.000000000000000000e+00,3.648202778441397095e+04,3.961741767833038466e+04
5.000000000000000000e+00,3.648862787989735807e+04,3.961742623237522639e+04
5.000000000000000000e+00,3.649192792763905163e+04,3.961743557181324286e+04
5.000000000000000000e+00,3.855445776619705430e+04,3.961901555066815490e+04
5.000000000000000000e+00,3.855775781393874786e+04,3.961901558886314888e+04
5.000000000000000000e+00,3.856105786168044142e+04,3.961901562705815013e+04
5.000000000000000000e+00,3.856435790942212770e+04,3.961901566525314411e+04
5.000000000000000000e+00,3.856765795716382127e+04,3.961901570344813808e+04
5.000000000000000000e+00,3.857095800490551483e+04,3.961901574164313934e+04
5.000000000000000000e+00,3.857425805264720839e+04,3.961901577983813331e+04
5.000000000000000000e+00,3.857755810038890195e+04,3.961901581803313456e+04
5.000000000000000000e+00,3.858085814813059551e+04,3.961901585622812854e+04
5.000000000000000000e+00,3.858415819587228907e+04,3.961901589442312979e+04
5.000000000000000000e+00,3.876566082166539127e+04,3.961901799514796585e+04
5.000000000000000000e+00,3.876896086940708483e+04,3.961901803334295982e+04
5.000000000000000000e+00,3.877226091714877839e+04,3.961901807153795380e+04
5.000000000000000000e+00,3.877556096489047195e+04,3.961901810973295505e+04
5.000000000000000000e+00,3.877886101263216551e+04,3.961901814792794903e+04
5.000000000000000000e+00,3.965667371192244900e+04,3.961904817562123935e+04
5.000000000000000000e+00,3.965997375966414256e+04,3.961904821381624060e+04
5.000000000000000000e+00,3.966327380740583612e+04,3.961904825201123458e+04
5.000000000000000000e+00,4.005267944092558901e+04,3.961913095114086900e+04
5.000000000000000000e+00,4.005597948866728257e+04,3.961913250233772851e+04
5.000000000000000000e+00,4.283461968717262062e+04,3.962320143957922846e+04
5.000000000000000000e+00,4.283791973491431418e+04,3.962320147777422972e+04
5.000000000000000000e+00,4.285772002136446827e+04,3.962320170694420813e+04
5.000000000000000000e+00,4.296002150135694683e+04,3.962320387624992145e+04
5.000000000000000000e+00,4.296332154909864039e+04,3.962320396542223170e+04
5.000000000000000000e+00,4.296662159684033395e+04,3.962320405459454923e+04
5.000000000000000000e+00,4.296992164458202751e+04,3.962320414376686676e+04
5.000000000000000000e+00,4.484434876186354086e+04,3.964660160412469122e+04
5.000000000000000000e+00,4.484764880960523442e+04,3.964699812172521342e+04
5.000000000000000000e+00,4.485094885734692798e+04,3.964739463932573562e+04
5.000000000000000000e+00,4.501925129217326321e+04,3.965554366309315083e+04
5.000000000000000000e+00,4.502915143539833662e+04,3.965554377767814003e+04
5.000000000000000000e+00,4.503245148314003018e+04,3.965554381587313401e+04
5.000000000000000000e+00,4.503575153088172374e+04,3.965554385406813526e+04
5.000000000000000000e+00,4.503905157862341730e+04,3.965554389226312924e+04
5.000000000000000000e+00,4.504235162636511086e+04,3.965554393045812321e+04
5.000000000000000000e+00,4.782099182487044891e+04,3.966034614444305043e+04
5.000000000000000000e+00,4.782429187261214247e+04,3.966035455603023001e+04
5.000000000000000000e+00,4.793649349582970171e+04,3.966042146815395245e+04
5.000000000000000000e+00,4.793979354357139528e+04,3.966042273333992489e+04
5.000000000000000000e+00,5.497549532886045199e+04,3.966746370573250897e+04
5.000000000000000000e+00,5.545730229914760275e+04,3.966934027271124796e+04
5.000000000000000000e+00,5.599521008104352950e+04,3.967012842144460592e+04
5.000000000000000000e+00,5.599851012878522306e+04,3.967013919022021582e+04
