sensor ID,norm_secs (secs),time (days)
5.000000000000000000e+00,6.272823796512642502e+01,3.992024755472497054e+04
5.000000000000000000e+00,6.602972417381728576e+01,3.992024759293661918e+04
5.000000000000000000e+00,6.933121038250814649e+01,3.992024763114826055e+04
5.000000000000000000e+00,7.263269659119902144e+01,3.992024766935990920e+04
5.000000000000000000e+00,2.694012746291745316e+03,3.994312265061035578e+04
5.000000000000000000e+00,2.697314232500435992e+03,3.994312268882200442e+04
5.000000000000000000e+00,4.952229313036296844e+03,3.994316788459845702e+04
5.000000000000000000e+00,4.955530799244987065e+03,3.994316792281010567e+04
5.000000000000000000e+00,4.958832285453678196e+03,3.994316796102175431e+04
5.000000000000000000e+00,5.232855640775020220e+03,3.994318311175495910e+04
5.000000000000000000e+00,5.236157126983710441e+03,3.994318314996660047e+04
5.000000000000000000e+00,5.239458613192401572e+03,3.994318318817824911e+04
5.000000000000000000e+00,5.242760099401092702e+03,3.994318322638989775e+04
5.000000000000000000e+00,7.689161380041023222e+03,3.994331287223791151e+04
5.000000000000000000e+00,7.692462866249713443e+03,3.994331291044955287e+04
5.000000000000000000e+00,7.695764352458404574e+03,3.994331294866120152e+04
5.000000000000000000e+00,7.699065838667095704e+03,3.994331298687285016e+04
