sensor ID, norm_secs (secs),time (days)
58,16.104211160430822,39859.32384379874
58,16.804394254362595,39859.32385190271
58,17.50457734829437,39859.323860006676
58,18.204760442226146,39859.32386811065
58,18.90494353615792,39859.32387621462
58,19.605126630089693,39859.32388431859
58,20.30530972402147,39859.32389242256
58,21.005492817953243,39859.323900526535
58,21.70567591188502,39859.323908630504
58,22.405859005816794,39859.32391673447
58,23.106042099748567,39859.32392483845
58,23.806225193680344,39859.32393294242
58,24.506408287612118,39859.32394104639
58,25.206591381543895,39859.32394915036
58,25.906774475475668,39859.32395725433
58,26.60695756940744,39859.3239653583
58,27.30714066333922,39859.32397346227
58,28.007323757270992,39859.323981566245
58,28.707506851202766,39859.323989670214
58,29.407689945134543,39859.32399777418
58,30.107873039066316,39859.32400587816
58,30.80805613299809,39859.32401398213
58,31.508239226929867,39859.3240220861
58,32.208422320861644,39859.324030190066
58,32.90860541479341,39859.32403829404
58,33.60878850872519,39859.32404639801
58,34.30897160265697,39859.32405450198
58,35.00915469658874,39859.324062605956
58,35.709337790520514,39859.324070709925
58,36.40952088445229,39859.324078813894
58,37.10970397838406,39859.32408691787
58,37.80988707231584,39859.32409502184
58,38.510070166247615,39859.32410312581
58,39.210253260179385,39859.32411122978
58,39.91043635411116,39859.32411933375
58,40.61061944804294,39859.32412743772
58,41.31080254197472,39859.32413554169
58,42.010985635906486,39859.32414364567
58,42.71116872983826,39859.324151749635
58,43.41135182377004,39859.324159853604
58,44.11153491770181,39859.32416795757
58,44.81171801163359,39859.32417606155
58,45.511901105565364,39859.32418416552
58,46.212084199497134,39859.32419226949
58,46.91226729342891,39859.32420037346
58,47.61245038736069,39859.32420847743
58,48.31263348129246,39859.3242165814
58,49.012816575224235,39859.32422468537
58,49.71299966915601,39859.324232789346
58,50.41318276308779,39859.324240893315
58,51.11336585701956,39859.32424899728
58,51.813548950951336,39859.32425710126
58,52.51373204488311,39859.32426520523
58,53.21391513881488,39859.3242733092
58,53.91409823274666,39859.32428141317
58,54.61428132667844,39859.32428951714
58,55.31446442061021,39859.32429762111
58,56.014647514541984,39859.32430572508
58,56.71483060847376,39859.324313829056
58,57.41501370240553,39859.324321933025
58,58.11519679633731,39859.324330036994
58,58.815379890269085,39859.32433814097
58,59.515562984200855,39859.32434624494
58,60.21574607813263,39859.32435434891
58,60.91592917206441,39859.32436245288
58,61.61611226599618,39859.32437055685
58,62.316295359927956,39859.32437866082
58,63.01647845385973,39859.32438676479
58,63.71666154779151,39859.32439486877
58,64.41684464172329,39859.324402972736
58,65.11702773565506,39859.324411076705
58,65.81721082958683,39859.32441918067
58,66.51739392351861,39859.32442728465
58,67.21757701745038,39859.32443538862
58,67.91776011138215,39859.32444349259
58,68.61794320531394,39859.32445159656
58,69.3181262992457,39859.32445970053
58,70.01830939317747,39859.3244678045
27,165.94339326183064,39859.32557804853
27,166.6435763557624,39859.3255861525
27,167.34375944969418,39859.32559425647
27,168.04394254362595,39859.32560236044
27,168.74412563755772,39859.32561046441
27,169.4443087314895,39859.325618568386
27,170.14449182542128,39859.325626672355
27,170.84467491935305,39859.32563477632
27,171.54485801328482,39859.3256428803
27,172.2450411072166,39859.32565098427
27,172.94522420114836,39859.32565908824
27,173.64540729508016,39859.32566719221
27,174.34559038901193,39859.32567529618
27,175.0457734829437,39859.32568340015
27,175.74595657687547,39859.32569150412
27,176.44613967080724,39859.325699608096
27,177.146322764739,39859.325707712065
27,177.8465058586708,39859.325715816034
27,178.54668895260258,39859.32572392001
27,179.24687204653435,39859.32573202398
27,179.94705514046612,39859.32574012795
27,180.6472382343979,39859.32574823192
27,181.3474213283297,39859.32575633589
27,182.04760442226146,39859.32576443986
8,182.74778751619323,39859.32577254383
27,182.74778751619323,39859.32577254383
8,183.447970610125,39859.32578064781
27,183.447970610125,39859.32578064781
8,184.14815370405677,39859.325788751776
27,184.14815370405677,39859.325788751776
8,184.84833679798854,39859.325796855745
27,184.84833679798854,39859.325796855745
8,185.54851989192034,39859.32580495972
27,185.54851989192034,39859.32580495972
8,186.2487029858521,39859.32581306369
27,186.2487029858521,39859.32581306369
8,186.94888607978388,39859.32582116766
27,186.94888607978388,39859.32582116766
8,187.64906917371565,39859.32582927163
27,187.64906917371565,39859.32582927163
8,188.34925226764742,39859.3258373756
27,188.34925226764742,39859.3258373756
8,189.04943536157919,39859.32584547957
8,189.74961845551098,39859.32585358354
8,190.44980154944275,39859.32586298902
8,191.14998464337452,39859.325873118985
8,191.8501677373063,39859.32588324896
8,192.55035083123806,39859.325893378926
8,193.25053392516983,39859.32590350889
8,203.0530972402147,39859.32601913309
