sensor_id,mule_id,interaction_time,interaction_duration
239,0,2.9000000000000004,11.200000000000001
841,0,12.200000000000001,2.2
880,0,14.4,7.6000000000000005
880,0,24.700000000000003,3.6
807,0,30.200000000000003,7.4
353,0,39.400000000000006,5.7
353,0,47.300000000000004,5.7
579,0,50.800000000000004,5.6000000000000005
106,0,52.0,5.4
910,0,56.0,5.5
910,0,62.7,3.9000000000000004
449,0,65.8,1.6
558,0,66.3,1.1
910,0,71.4,1.3
558,0,73.0,1.7000000000000002
449,0,72.9,1.9000000000000001
244,0,66.4,9.8
244,0,86.2,3.2
814,0,90.4,1.9000000000000001
814,0,93.7,2.4000000000000004
710,0,98.4,3.5
814,0,103.2,7.7
814,0,118.80000000000001,4.9
922,0,137.3,3.6
814,0,144.3,1.2000000000000002
244,0,147.1,3.5
922,0,154.20000000000002,2.4000000000000004
814,0,158.0,2.5
361,0,166.60000000000002,0.4
449,0,165.20000000000002,3.2
910,0,168.5,2.1
449,0,172.20000000000002,2.4000000000000004
910,0,173.3,2.4000000000000004
814,0,193.20000000000002,2.1
244,0,204.3,1.9000000000000001
244,0,208.10000000000002,5.5
449,0,212.5,1.8
361,0,216.4,1.0
829,0,216.20000000000002,6.5
922,0,223.3,2.4000000000000004
244,0,226.20000000000002,2.5
558,0,227.10000000000002,2.7
361,0,231.0,0.7000000000000001
449,0,226.8,6.7
910,0,233.10000000000002,1.8
910,0,237.8,1.7000000000000002
449,0,238.9,5.6000000000000005
910,0,245.9,5.800000000000001
558,0,251.10000000000002,2.0
449,0,249.70000000000002,4.6000000000000005
106,0,255.8,3.7
910,0,253.4,15.8
106,0,266.40000000000003,3.3000000000000003
583,0,284.2,11.4
782,0,282.2,14.0
685,0,280.40000000000003,18.6
814,0,305.1,0.6000000000000001
710,0,307.40000000000003,2.4000000000000004
814,0,310.8,2.5
244,0,325.8,2.3000000000000003
558,0,327.20000000000005,1.1
910,0,327.90000000000003,2.9000000000000004
449,0,327.20000000000005,5.9
558,0,330.0,3.1
244,0,331.70000000000005,6.9
558,0,338.20000000000005,1.0
449,0,337.90000000000003,2.5
361,0,339.90000000000003,1.5
361,0,347.8,0.7000000000000001
829,0,340.70000000000005,21.3
341,0,363.6,2.3000000000000003
193,0,364.40000000000003,1.5
314,0,366.5,1.7000000000000002
817,0,366.1,4.4
40,0,366.40000000000003,4.1000000000000005
341,0,370.70000000000005,4.1000000000000005
193,0,370.40000000000003,4.800000000000001
817,0,375.0,5.7
314,0,376.90000000000003,4.800000000000001
40,0,375.0,11.200000000000001
40,0,386.70000000000005,1.2000000000000002
841,0,388.5,2.5
